a, Determiner, একটি, আ
quiet, Adjective | Noun | Action Verb, শান্ত, কোয়ায়েট
quietly, Adverb, শান্তভাবে, কোয়ায়েটলি
quite, Adverb, বেশ বা সম্পূর্ণভাবে, কোয়াইট
race, Noun | Action Verb, দৌড় প্রতিযোগিতা বা জাতি, রেইস
radio, Noun, রেডিও, রেডিও
railway, Noun, রেলপথ, রেইলওয়ে
rain, Noun | Action Verb, বৃষ্টি, রেইন
raining, Action Verb (Present Participle), বৃষ্টি পড়ছে এমন, রেইনিং
rainy, Adjective, বৃষ্টিবহুল, রেইনি
raise, Action Verb | Noun, তোলা বা বাড়ানো, রেইজ
ran, Action Verb (Past), দৌড়েছিল, র‍্যান
rang, Action Verb (Past), বেজেছিল, র‍্যাং
range, Noun | Action Verb, পরিসর বা সীমা, রেইঞ্জ
rarely, Adverb, কদাচিৎ, রেয়ারলি
rat, Noun, ইঁদুর, র‍্যাট
rather, Adverb, বরং, রাদার
reach, Action Verb | Noun, পৌঁছানো, রিচ
reached, Action Verb (Past), পৌঁছেছিল, রিচড
read, Action Verb | Noun, পড়া, রিড
reading, Action Verb (Present Participle) | Noun, পড়ছে এমন বা পাঠ, রিডিং
reads, Action Verb (Third Person), পড়ে, রিডস
ready, Adjective, প্রস্তুত, রেডি
real, Adjective, আসল বা প্রকৃত, রিয়েল
realise, Action Verb, বুঝতে পারা, রিয়ালাইজ
really, Adverb, সত্যি বা প্রকৃতপক্ষে, রিয়েলি
reason, Noun | Action Verb, কারণ, রিজন
receive, Action Verb, গ্রহণ করা, রিসিভ
recently, Adverb, সম্প্রতি, রিসেন্টলি
record, Noun | Action Verb, রেকর্ড বা নথিভুক্ত করা, রেকর্ড
red, Adjective | Noun, লাল, রেড
reduce, Action Verb, কমানো, রিডিউস
refresh, Action Verb, সতেজ করা, রিফ্রেশ
refuse, Action Verb | Noun, প্রত্যাখ্যান করা বা আবর্জনা, রিফিউজ
regular, Adjective | Noun, নিয়মিত, রেগুলার
regularly, Adverb, নিয়মিতভাবে, রেগুলারলি
relation, Noun, সম্পর্ক, রিলেশন
relative, Noun | Adjective, আত্মীয় বা আপেক্ষিক, রিলেটিভ
relax, Action Verb, বিশ্রাম নেওয়া, রিল্যাক্স
religion, Noun, ধর্ম, রিলিজিয়ন
remain, Action Verb, থাকা বা অবশিষ্ট থাকা, রিমেইন
remember, Action Verb, মনে রাখা, রিমেম্বার
remind, Action Verb, মনে করিয়ে দেওয়া, রিমাইন্ড
remove, Action Verb, সরিয়ে ফেলা, রিমুভ
repeat, Action Verb | Noun, পুনরাবৃত্তি করা, রিপিট
reply, Action Verb | Noun, উত্তর দেওয়া, রিপ্লাই
report, Noun | Action Verb, প্রতিবেদন বা রিপোর্ট, রিপোর্ট
request, Noun | Action Verb, অনুরোধ, রিকোয়েস্ট
rescue, Action Verb | Noun, উদ্ধার করা, রেসকিউ
respect, Noun | Action Verb, সম্মান, রেসপেক্ট
responsible, Adjective, দায়ী, রেসপন্সিবল
rest, Noun | Action Verb, বিশ্রাম বা অবশিষ্ট, রেস্ট
restaurant, Noun, রেস্তোরাঁ, রেস্টুরেন্ট
result, Noun | Action Verb, ফলাফল, রেজাল্ট
return, Action Verb | Noun, ফিরে আসা বা ফেরত, রিটার্ন
rice, Noun, চাল বা ভাত, রাইস
rich, Adjective, ধনী, রিচ
ride, Action Verb | Noun, চড়া বা সওয়ার হওয়া, রাইড
riding, Action Verb (Present Participle), চড়ছে এমন, রাইডিং
right, Adjective | Adverb | Noun, সঠিক বা ডান, রাইট
ring, Noun | Action Verb, আংটি বা বাজা, রিং
rise, Action Verb | Noun, ওঠা বা বৃদ্ধি, রাইজ
rising, Action Verb (Present Participle) | Adjective, উঠছে এমন, রাইজিং
river, Noun, নদী, রিভার
road, Noun, রাস্তা, রোড
rock, Noun | Action Verb, পাথর বা দোলানো, রক
role, Noun, ভূমিকা বা পাঠ, রোল
roll, Action Verb | Noun, গড়ানো বা তালিকা, রোল
rolling, Action Verb (Present Participle) | Adjective, গড়াচ্ছে এমন, রোলিং
roof, Noun, ছাদ, রুফ
room, Noun, কক্ষ বা ঘর, রুম
root, Noun | Action Verb, মূল বা শিকড়, রুট
rope, Noun, দড়ি, রোপ
rose, Noun | Action Verb (Past), গোলাপ বা উঠেছিল, রোজ
round, Adjective | Adverb | Preposition, গোল, রাউন্ড
row, Noun | Action Verb, সারি বা নৌকা চালানো, রো
rub, Action Verb | Noun, ঘষা, রাব
rubber, Noun, রবার, রাবার
rule, Noun | Action Verb, নিয়ম বা শাসন করা, রুল
run, Action Verb | Noun, দৌড়ানো, রান
running, Action Verb (Present Participle) | Adjective, দৌড়াচ্ছে এমন, রানিং
runs, Action Verb (Third Person) | Noun (Plural), দৌড়ায় বা দৌড়গুলো, রানস
sad, Adjective, দুঃখিত, স্যাড
safe, Adjective | Noun, নিরাপদ বা সিন্দুক, সেইফ
said, Action Verb (Past), বলেছিল, সেড
sail, Action Verb | Noun, পাল তোলা বা জলযাত্রা, সেইল
salad, Noun, সালাদ, স্যালাড
salt, Noun | Action Verb, লবণ, সল্ট
same, Adjective | Pronoun | Adverb, একই, সেইম
sand, Noun, বালু, স্যান্ড
sandwich, Noun, স্যান্ডউইচ, স্যান্ডউইচ
sang, Action Verb (Past), গেয়েছিল, স্যাং
sat, Action Verb (Past), বসেছিল, স্যাট
saturday, Noun, শনিবার, স্যাটারডে
sauce, Noun, সস, সস
save, Action Verb | Noun, রক্ষা করা বা জমানো, সেইভ
saving, Action Verb (Present Participle) | Noun, জমাচ্ছে এমন বা সঞ্চয়, সেইভিং
saw, Action Verb (Past) | Noun, দেখেছিল বা করাত, স
say, Action Verb | Noun, বলা, সে
saying, Action Verb (Present Participle) | Noun, বলছে এমন বা প্রবাদ, সেয়িং
says, Action Verb (Third Person), বলে, সেজ
scene, Noun, দৃশ্য, সিন
school, Noun | Action Verb, স্কুল বা বিদ্যালয়, স্কুল
science, Noun, বিজ্ঞান, সায়েন্স
scientist, Noun, বিজ্ঞানী, সায়েন্টিস্ট
score, Noun | Action Verb, রান বা স্কোর, স্কোর
sea, Noun, সমুদ্র, সি
search, Action Verb | Noun, অনুসন্ধান, সার্চ
season, Noun | Action Verb, ঋতু, সিজন
seat, Noun | Action Verb, আসন, সিট
second, Number | Noun | Adjective, দ্বিতীয় বা সেকেন্ড, সেকেন্ড
secret, Adjective | Noun, গোপন, সিক্রেট
secretary, Noun, সচিব বা সম্পাদক, সেক্রেটারি
see, Action Verb, দেখা, সি
seeing, Action Verb (Present Participle), দেখছে এমন, সিয়িং
seem, Linking Verb, মনে হওয়া, সিম
seemed, Linking Verb (Past), মনে হয়েছিল, সিমড
seems, Linking Verb (Third Person), মনে হয়, সিমস
seen, Action Verb (Past Participle), দেখা হয়েছে এমন, সিন
sees, Action Verb (Third Person), দেখে, সিজ
sell, Action Verb, বিক্রি করা, সেল
selling, Action Verb (Present Participle), বিক্রি করছে এমন, সেলিং
send, Action Verb, পাঠানো, সেন্ড
sending, Action Verb (Present Participle), পাঠাচ্ছে এমন, সেন্ডিং
sense, Noun | Action Verb, অনুভূতি বা জ্ঞান, সেন্স
sentence, Noun | Action Verb, বাক্য বা দণ্ডাদেশ, সেন্টেন্স
sentences, Noun (Plural), বাক্যগুলো, সেন্টেন্সেস
separate, Adjective | Action Verb, আলাদা, সেপারেট
september, Noun, সেপ্টেম্বর, সেপ্টেম্বর
serious, Adjective, গুরুতর, সিরিয়াস
seriously, Adverb, গুরুত্বের সাথে, সিরিয়াসলি
servant, Noun, চাকর, সার্ভেন্ট
serve, Action Verb, সেবা করা বা পরিবেশন করা, সার্ভ
service, Noun | Action Verb, সেবা, সার্ভিস
set, Action Verb | Noun, স্থাপন করা বা সেট, সেট
seven, Number, সাত, সেভেন
several, Adjective | Pronoun, বেশ কয়েকটি, সেভারেল
shall, Helping Verb, হবে বা হবে কি, শ্যাল
shape, Noun | Action Verb, আকৃতি, শেপ
share, Action Verb | Noun, ভাগ করা বা অংশ, শেয়ার
sharp, Adjective | Adverb, ধারালো বা ঠিক, শার্প
she, Pronoun, সে (স্ত্রী), শি
sheep, Noun, ভেড়া, শিপ
sheet, Noun, চাদর বা কাগজ, শিট
shelf, Noun, তাক, শেলফ
shine, Action Verb | Noun, উজ্জ্বল হওয়া বা কিরণ, শাইন
shining, Action Verb (Present Participle) | Adjective, উজ্জ্বল, শাইনিং
ship, Noun | Action Verb, জাহাজ, শিপ
shirt, Noun, জামা বা শার্ট, শার্ট
shoe, Noun | Action Verb, জুতো, শু
shoes, Noun (Plural), জুতোজোড়া, শুজ
shop, Noun | Action Verb, দোকান, শপ
shopping, Noun | Action Verb (Present Participle), কেনাকাটা, শপিং
short, Adjective | Adverb, ছোট বা খাটো, শর্ট
shot, Action Verb (Past) | Noun, গুলি করেছিল বা শট, শট
should, Helping Verb, উচিত, শুড
shouldn't, Helping Verb (Contraction), উচিত নয়, শুডন্ট
shoulder, Noun, কাঁধ, শোল্ডার
shoulders, Noun (Plural), কাঁধগুলো, শোল্ডারস
shout, Action Verb | Noun, চিৎকার করা, শাউট
show, Action Verb | Noun, দেখানো বা প্রদর্শনী, শো
showed, Action Verb (Past), দেখিয়েছিল, শোড
showing, Action Verb (Present Participle), দেখাচ্ছে এমন, শোয়িং
shown, Action Verb (Past Participle), দেখানো হয়েছে এমন, শোন
shows, Action Verb (Third Person) | Noun (Plural), দেখায় বা প্রদর্শনীগুলো, শোজ
shut, Action Verb | Adjective, বন্ধ করা বা বন্ধ, শাট
sick, Adjective, অসুস্থ, সিক
side, Noun | Adjective, পাশ, সাইড
sight, Noun, দৃষ্টি বা দৃশ্য, সাইট
sign, Noun | Action Verb, চিহ্ন বা স্বাক্ষর করা, সাইন
silence, Noun | Action Verb, নীরবতা, সাইলেন্স
silent, Adjective, নীরব, সাইলেন্ট
silk, Noun | Adjective, সিল্ক বা রেশম, সিল্ক
silly, Adjective, নির্বোধ, সিলি
silver, Noun | Adjective, রুপো, সিলভার
simple, Adjective, সরল, সিম্পল
simply, Adverb, সহজভাবে, সিম্পলি
since, Preposition | Conjunction | Adverb, থেকে বা যেহেতু, সিন্স
sing, Action Verb, গান গাওয়া, সিং
singing, Action Verb (Present Participle) | Noun, গান গাইছে এমন, সিংয়িং
single, Adjective | Noun | Action Verb, একক বা অবিবাহিত, সিঙ্গেল
sink, Action Verb | Noun, ডুবে যাওয়া বা সিঙ্ক, সিঙ্ক
sir, Noun, স্যার বা মহোদয়, স্যার
sister, Noun, বোন, সিস্টার
sit, Action Verb, বসা, সিট
sitting, Action Verb (Present Participle), বসে আছে এমন, সিটিং
situation, Noun, পরিস্থিতি, সিচুয়েশন
six, Number, ছয়, সিক্স
size, Noun | Action Verb, আকার, সাইজ
skill, Noun, দক্ষতা, স্কিল
skin, Noun, ত্বক বা চামড়া, স্কিন
sky, Noun, আকাশ, স্কাই
sleep, Action Verb | Noun, ঘুমানো, স্লিপ
sleeping, Action Verb (Present Participle) | Adjective, ঘুমাচ্ছে এমন, স্লিপিং
sleepy, Adjective, ঘুমঘুম ভাব, স্লিপি
slept, Action Verb (Past), ঘুমিয়েছিল, স্লেপ্ট
slid, Action Verb (Past), পিছলে গিয়েছিল, স্লিড
slide, Action Verb | Noun, পিছলে যাওয়া, স্লাইড
slight, Adjective | Action Verb, সামান্য, স্লাইট
slightly, Adverb, সামান্যভাবে, স্লাইটলি
slow, Adjective | Adverb | Action Verb, ধীর, স্লো
slowly, Adverb, ধীরে ধীরে, স্লোলি
small, Adjective, ছোট, স্মল
smart, Adjective, চতুর বা পরিপাটি, স্মার্ট
smell, Noun | Action Verb, গন্ধ, স্মেল
smile, Action Verb | Noun, হাসা বা মুচকি হাসি, স্মাইল
smiling, Action Verb (Present Participle) | Adjective, হাসছে এমন, স্মাইলিং
smoke, Noun | Action Verb, ধোঁয়া বা ধূমপান করা, স্মোক
snake, Noun, সাপ, স্নেক
snow, Noun | Action Verb, তুষার, স্নো
so, Adverb | Conjunction, তাই বা খুব, সো
soap, Noun | Action Verb, সাবান, সোপ
soccer, Noun, ফুটবল (সকার), সকার
society, Noun, সমাজ, সোসাইটি
soft, Adjective, নরম, সফট
softly, Adverb, নরমভাবে বা মৃদুস্বরে, সফটলি
sold, Action Verb (Past) | Adjective, বিক্রি করেছিল বা বিক্রিত, সোল্ড
soldier, Noun, সৈনিক, সোলজার
solution, Noun, সমাধান, সলিউশন
solve, Action Verb, সমাধান করা, সলভ
some, Adjective | Pronoun | Adverb, কিছু, সাম
somebody, Pronoun, কেউ একজন, সামবডি
someone, Pronoun, কেউ একজন, সামওয়ান
something, Pronoun, কিছু একটা, সামথিং
sometimes, Adverb, মাঝে মাঝে, সামটাইমস
somewhere, Adverb, কোথাও, সামহোয়্যার
son, Noun, ছেলে বা পুত্র, সান
song, Noun, গান, সং
songs, Noun (Plural), গানগুলো, সংস
soon, Adverb, শীঘ্রই, সুন
sorry, Adjective, দুঃখিত, সরি
sort, Noun | Action Verb, ধরন বা বাছাই করা, সর্ট
sound, Noun | Action Verb | Adjective, শব্দ বা সুস্থ, সাউন্ড
soup, Noun, সুপ বা ঝোল, সুপ
sour, Adjective, টক, সাওয়ার
south, Noun | Adjective | Adverb, দক্ষিণ, সাউথ
space, Noun | Action Verb, মহাশূন্য বা জায়গা, স্পেস
speak, Action Verb, কথা বলা, স্পিক
speaking, Action Verb (Present Participle) | Noun, কথা বলছে এমন, স্পিকিং
speaks, Action Verb (Third Person), কথা বলে, স্পিকস
special, Adjective, বিশেষ, স্পেশাল
specially, Adverb, বিশেষভাবে, স্পেশালি
speed, Noun | Action Verb, গতি, স্পিড
spell, Action Verb | Noun, বানান করা বা মন্ত্র, স্পেল
spelling, Noun | Action Verb (Present Participle), বানান, স্পেলিং
spend, Action Verb, ব্যয় করা, স্পেন্ড
spending, Action Verb (Present Participle), ব্যয় করছে এমন, স্পেন্ডিং
spent, Action Verb (Past), ব্যয় করেছিল, স্পেন্ট
spoon, Noun, চামচ, স্পুন
sport, Noun | Action Verb, খেলাধুলা, স্পোর্ট
sports, Noun (Plural), খেলাধুলা, স্পোর্টস
spot, Noun | Action Verb, স্থান বা দাগ, স্পট
spread, Action Verb | Noun, ছড়িয়ে দেওয়া, স্প্রেড
spring, Noun | Action Verb, বসন্তকাল বা লাফানো, স্প্রিং
square, Noun | Adjective, বর্গক্ষেত্র বা চৌকো, স্কয়ার
staff, Noun, কর্মী বা কর্মকর্তা, স্টাফ
stage, Noun | Action Verb, মঞ্চ বা পর্যায়, স্টেজ
stair, Noun, সিঁড়ি, স্টেয়ার
stamp, Noun | Action Verb, ডাকটিকিট বা স্ট্যাম্প, স্ট্যাম্প
stand, Action Verb | Noun, দাঁড়ানো, স্ট্যান্ড
standing, Action Verb (Present Participle), দাঁড়িয়ে আছে এমন, স্ট্যান্ডিং
star, Noun | Action Verb, তারা বা তারকা, স্টার
start, Action Verb | Noun, শুরু করা, স্টার্ট
started, Action Verb (Past), শুরু করেছিল, স্টার্টেড
starting, Action Verb (Present Participle) | Noun, শুরু করছে এমন, স্টার্টিং
starts, Action Verb (Third Person), শুরু করে, স্টার্টস
state, Noun | Action Verb, রাষ্ট্র বা অবস্থা, স্টেট
station, Noun | Action Verb, স্টেশন, স্টেশন
stay, Action Verb | Noun, থাকা, স্টে
staying, Action Verb (Present Participle), থাকছে এমন, স্টেয়িং
step, Noun | Action Verb, পদক্ষেপ বা ধাপ, স্টেপ
stick, Noun | Action Verb, লাঠি বা লেগে থাকা, স্টিক
still, Adverb | Adjective, এখনো বা স্থির, স্টিল
stone, Noun, পাথর, স্টোন
stop, Action Verb | Noun, থামা, স্টপ
stopped, Action Verb (Past), থেমেছিল, স্টপড
stopping, Action Verb (Present Participle), থামছে এমন, স্টপিং
stops, Action Verb (Third Person) | Noun (Plural), থামে বা স্টপগুলো, স্টপস
store, Noun | Action Verb, দোকান বা জমা করা, স্টোর
stories, Noun (Plural), গল্পগুলো, স্টোরিজ
storm, Noun | Action Verb, ঝড়, স্টর্ম
story, Noun, গল্প, স্টোরি
straight, Adjective | Adverb, সোজা, স্ট্রেইট
strange, Adjective, অদ্ভুত, স্ট্রেঞ্জ
street, Noun, রাস্তা, স্ট্রিট
strong, Adjective, শক্তিশালী, স্ট্রং
structure, Noun | Action Verb, কাঠামো, স্ট্রাকচার
student, Noun, ছাত্র বা ছাত্রী, স্টুডেন্ট
students, Noun (Plural), ছাত্র-ছাত্রীরা, স্টুডেন্টস
studied, Action Verb (Past), পড়াশোনা করেছিল, স্টাডিড
study, Action Verb | Noun, পড়াশোনা করা, স্টাডি
studying, Action Verb (Present Participle), পড়াশোনা করছে এমন, স্টাডিং
stupid, Adjective, বোকা, স্টুপিড
style, Noun | Action Verb, শৈলী বা ধরন, স্টাইল
subject, Noun | Adjective, বিষয়, সাবজেক্ট
success, Noun, সফলতা, সাকসেস
successful, Adjective, সফল, সাকসেসফুল
such, Adjective | Pronoun, এমন, সাচ
sudden, Adjective, হঠাৎ, সাডেন
suddenly, Adverb, হঠাৎ করে, সাডেনলি
sugar, Noun, চিনি, সুগার
suggest, Action Verb, পরামর্শ দেওয়া, সাজেস্ট
suit, Noun | Action Verb, স্যুট বা মানানসই হওয়া, স্যুট
summer, Noun, গ্রীষ্মকাল, সামার
sun, Noun, সূর্য, সান
sunday, Noun, রবিবার, সানডে
sunny, Adjective, রৌদ্রোজ্জ্বল, সানি
super, Adjective | Adverb, চমৎকার বা সুপার, সুপার
supermarket, Noun, সুপারমার্কেট, সুপারমার্কেট
supper, Noun, রাতের হালকা খাবার, সাপার
support, Action Verb | Noun, সমর্থন, সাপোর্ট
suppose, Action Verb, মনে করা বা ধরা যাক, সাপোজ
sure, Adjective | Adverb, নিশ্চিত, শিউর
surely, Adverb, নিশ্চিতভাবে, শিউরলি
surprise, Noun | Action Verb, বিস্ময়, সারপ্রাইজ
surprising, Adjective, বিস্ময়কর, সারপ্রাইজিং
sweet, Adjective | Noun, মিষ্টি, সুইট
swim, Action Verb | Noun, সাঁতার কাটা, সুইম
swimming, Action Verb (Present Participle) | Noun, সাঁতার কাটছে এমন, সুইমিং
swum, Action Verb (Past Participle), সাঁতার কেটেছে এমন, সোয়াম
system, Noun, পদ্ধতি বা ব্যবস্থা, সিস্টেম
table, Noun, টেবিল, টেবিল
take, Action Verb, নেওয়া, টেইক
taken, Action Verb (Past Participle), নেওয়া হয়েছে এমন, টেইকেন
takes, Action Verb (Third Person), নেয়, টেইকস
taking, Action Verb (Present Participle), নিচ্ছে এমন, টেইকিং
talk, Action Verb | Noun, কথা বলা, টক
talking, Action Verb (Present Participle), কথা বলছে এমন, টকিং
tall, Adjective, লম্বা, টল
tea, Noun, চা, টি
teach, Action Verb, শেখানো, টিচ
teacher, Noun, শিক্ষক বা শিক্ষিকা, টিচার
teaching, Action Verb (Present Participle) | Noun, শেখাচ্ছে এমন বা শিক্ষকতা, টিচিং
team, Noun, দল বা টিম, টিম
telephone, Noun | Action Verb, টেলিফোন, টেলিফোন
television, Noun, টেলিভিশন, টেলিভিশন
tell, Action Verb, বলা, টেল
telling, Action Verb (Present Participle), বলছে এমন, টেলিং
ten, Number, দশ, টেন
tennis, Noun, টেনিস, টেনিস
terrible, Adjective, ভয়াবহ, টেরিবল
text, Noun | Action Verb, পাঠ্য বা টেক্সট পাঠানো, টেক্সট
than, Conjunction | Preposition, চেয়ে বা থেকে, দ্যান
thank, Action Verb, ধন্যবাদ দেওয়া, থ্যাঙ্ক
thanks, Noun | Interjection, ধন্যবাদ, থ্যাঙ্কস
that, Pronoun | Conjunction | Determiner, ওই বা যে, দ্যাট
the, Determiner, টি বা টা, দি/দ্য
them, Pronoun, তাদেরকে, দেম
themselves, Pronoun, তারা নিজেরা, দেমসেলভস
then, Adverb, তখন বা তারপর, দেন
there, Adverb | Pronoun, সেখানে, দেয়ার
these, Determiner | Pronoun, এইগুলো, দিজ
they, Pronoun, তারা, দে
thick, Adjective, পুরু বা ঘন, থিক
thief, Noun, চোর, থিফ
thin, Adjective, পাতলা, থিন
thing, Noun, জিনিস বা বিষয়, থিং
things, Noun (Plural), জিনিসপত্র, থিংস
think, Action Verb, চিন্তা করা বা মনে করা, থিঙ্ক
thinking, Action Verb (Present Participle) | Noun, চিন্তা করছে এমন বা চিন্তা, থিঙ্কিং
thinks, Action Verb (Third Person), চিন্তা করে, থিঙ্কস
third, Number | Adjective, তৃতীয়, থার্ড
thirsty, Adjective, তৃষ্ণার্থ, থার্স্টি
thirteen, Number, তেরো, থার্টিন
thirty, Number, ত্রিশ, থার্টি
this, Determiner | Pronoun, এটি, দিস
those, Determiner | Pronoun, ওইগুলো, দোজ
though, Conjunction | Adverb, যদিও, দো
thought, Action Verb (Past) | Noun, চিন্তা করেছিল বা চিন্তা, থট
thousand, Number, হাজার, থাউজেন্ড
three, Number, তিন, থ্রি
threw, Action Verb (Past), ছুড়েছিল, থ্রু
throat, Noun, গলা, থ্রোট
through, Preposition | Adverb, মধ্য দিয়ে, থ্রু
throw, Action Verb | Noun, ছুড়ে মারা, থ্রো
throwing, Action Verb (Present Participle), ছুড়ছে এমন, থ্রোয়িং
thrown, Action Verb (Past Participle), ছুড়ে মারা হয়েছে এমন, থ্রোন
thursday, Noun, বৃহস্পতিবার, থার্সডে
ticket, Noun, টিকিট, টিকিট
tidy, Adjective | Action Verb, পরিপাটি, টাইডি
tie, Noun | Action Verb, টাই বা বাঁধা, টাই
tiger, Noun, বাঘ, টাইগার
till, Preposition | Conjunction, পর্যন্ত, টিল
time, Noun | Action Verb, সময়, টাইম
times, Noun (Plural) | Preposition, সময়গুলো বা গুণ, টাইমস
tiny, Adjective, অতি ক্ষুদ্র, টাইনি
tired, Adjective, ক্লান্ত, টায়ার্ড
title, Noun | Action Verb, শিরোনাম বা পদবি, টাইটেল
to, Preposition, প্রতি বা দিকে, টু
today, Adverb | Noun, আজ, টুডে
together, Adverb, একসাথে, টুগেদার
toilet, Noun, শৌচাগার, টয়লেট
told, Action Verb (Past), বলেছিল, টোল্ড
tomato, Noun, টমেটো, টমেটো
tomorrow, Adverb | Noun, আগামীকাল, টুমরো
tonight, Adverb | Noun, আজ রাত, টুনাইট
too, Adverb, খুব বা আরও, টু
took, Action Verb (Past), নিয়েছিল, টুক
tooth, Noun, দাঁত, টুথ
top, Noun | Adjective, শীর্ষ বা উপরে, টপ
total, Adjective | Noun | Action Verb, মোট, টোটাল
touch, Action Verb | Noun, স্পর্শ করা, টাচ
toward, Preposition, দিকে, টোয়ার্ড
towel, Noun, তোয়ালে, টাওয়াল
tower, Noun, টাওয়ার বা মিনার, টাওয়ার
town, Noun, শহর, টাউন
toy, Noun, খেলনা, টয়
train, Noun | Action Verb, ট্রেন বা প্রশিক্ষণ দেওয়া, ট্রেইন
training, Noun | Action Verb (Present Participle), প্রশিক্ষণ, ট্রেইনিং
travel, Action Verb | Noun, ভ্রমণ করা, ট্রাভেল
tree, Noun, গাছ, ট্রি
trees, Noun (Plural), গাছপালা, ট্রিস
trip, Noun | Action Verb, ছোট ভ্রমণ, ট্রিপ
trouble, Noun | Action Verb, সমস্যা বা কষ্ট, ট্রাবল
true, Adjective, সত্য, ট্রু
trust, Noun | Action Verb, বিশ্বাস, ট্রাস্ট
truth, Noun, সত্য, ট্রুথ
try, Action Verb | Noun, চেষ্টা করা, ট্রাই
trying, Action Verb (Present Participle), চেষ্টা করছে এমন, ট্রাইং
tuesday, Noun, মঙ্গলবার, টিউজডে
turn, Action Verb | Noun, ঘোরানো বা পাল্লা, টার্ন
twice, Adverb, দুইবার, টোয়াইস
two, Number, দুই, টু
type, Noun | Action Verb, ধরন বা টাইপ করা, টাইপ
typical, Adjective, সাধারণ বা বৈশিষ্ট্যপূর্ণ, টিপিক্যাল
ugly, Adjective, কুৎসিত, আগলি
umbrella, Noun, ছাতা, আমব্রেলা
uncle, Noun, কাকা বা মামা, আঙ্কেল
under, Preposition | Adverb, নিচে, আন্ডার
understand, Action Verb, বুঝতে পারা, আন্ডারস্ট্যান্ড
understanding, Noun | Action Verb (Present Participle), উপলব্ধি বা বুঝছে এমন, আন্ডারস্ট্যান্ডিং
understood, Action Verb (Past), বুঝেছিল, আন্ডারস্টুড
university, Noun, বিশ্ববিদ্যালয়, ইউনিভার্সিটি
until, Preposition | Conjunction, পর্যন্ত, আনটিল
up, Adverb | Preposition, উপরে, আপ
upon, Preposition, উপরে, আপন
us, Pronoun, আমাদের, আস
use, Action Verb | Noun, ব্যবহার করা, ইউজ
used, Action Verb (Past) | Adjective, ব্যবহার করেছিল বা ব্যবহৃত, ইউজড
useful, Adjective, উপকারী, ইউজফুল
using, Action Verb (Present Participle), ব্যবহার করছে এমন, ইউজিং
usually, Adverb, সাধারণত, ইউজুয়ালি
vacation, Noun, ছুটি, ভ্যাকেশন
value, Noun | Action Verb, মূল্য, ভ্যালু
van, Noun, ভ্যান গাড়ি, ভ্যান
various, Adjective, বিভিন্ন, ভ্যারিয়াস
vegetable, Noun, সবজি, ভেজিটেবল
vegetables, Noun (Plural), শাকসবজি, ভেজিটেবলস
very, Adverb | Adjective, খুব, ভেরি
victory, Noun, বিজয়, ভিক্টরি
video, Noun | Action Verb, ভিডিও, ভিডিও
village, Noun, গ্রাম, ভিলেজ
visit, Action Verb | Noun, পরিদর্শন করা, ভিজিট
voice, Noun | Action Verb, কণ্ঠস্বর, ভয়েস
wait, Action Verb | Noun, অপেক্ষা করা, ওয়েইট
waiting, Action Verb (Present Participle), অপেক্ষা করছে এমন, ওয়েইটিং
walk, Action Verb | Noun, হাঁটা, ওয়াক
walking, Action Verb (Present Participle), হাঁটছে এমন, ওয়াকিং
wall, Noun, দেয়াল, ওয়াল
want, Action Verb | Noun, চাওয়া, ওয়ান্ট
wanted, Action Verb (Past), চেয়েছিল, ওয়ান্টেড
wanting, Action Verb (Present Participle), চাচ্ছে এমন, ওয়ান্টিং
wants, Action Verb (Third Person), চায়, ওয়ান্টস
war, Noun, যুদ্ধ, ওয়ার
warm, Adjective | Action Verb, উষ্ণ বা গরম, ওয়ার্ম
was, Be Verb (Past), ছিল, ওয়াজ
wash, Action Verb | Noun, ধোয়া, ওয়াশ
washing, Action Verb (Present Participle), ধুচ্ছে এমন, ওয়াশিং
wasn't, Be Verb (Contraction), ছিল না, ওয়াজন্ট
watch, Action Verb | Noun, দেখা বা ঘড়ি, ওয়াচ
watching, Action Verb (Present Participle), দেখছে এমন, ওয়াচিং
water, Noun | Action Verb, পানি, ওয়াটার
way, Noun | Adverb, পথ বা উপায়, ওয়ে
we, Pronoun, আমরা, উই
weak, Adjective, দুর্বল, উইক
wear, Action Verb | Noun, পরিধান করা, ওয়্যার
wearing, Action Verb (Present Participle), পরে আছে এমন, ওয়্যারিং
weather, Noun, আবহাওয়া, ওয়েদার
wednesday, Noun, বুধবার, ওয়েডনেসডে
week, Noun, সপ্তাহ, উইক
weekend, Noun, সপ্তাহের শেষ দিন, উইকেন্ড
weeks, Noun (Plural), সপ্তাহগুলো, উইকস
weight, Noun | Action Verb, ওজন, ওয়েইট
well, Adverb | Adjective | Noun, ভালো বা কুয়া, ওয়েল
went, Action Verb (Past), গিয়েছিল, ওয়েন্ট
were, Be Verb (Past), ছিল, ওয়ার
weren't, Be Verb (Contraction), ছিল না, ওয়ারেন্ট
west, Noun | Adjective | Adverb, পশ্চিম, ওয়েস্ট
wet, Adjective | Action Verb, ভেজা, ওয়েট
what, Pronoun | Determiner | Adverb, কি, হোয়াট
whatever, Pronoun | Determiner, যা-ই হোক, হোয়াটএভার
when, Adverb | Conjunction, কখন, হোয়েন
whenever, Conjunction | Adverb, যখনই, হোয়েনএভার
where, Adverb | Conjunction, কোথায়, হোয়্যার
whether, Conjunction, কি-না, হোয়েদার
